INFO: At t=0000 game starts with 1 number robots per player and 2 players
INFO: At t=0000     R robot 1 in position [5,4]
INFO: At t=0000     B robot 1 in position [4,6]
INFO: At t=0000     R robot 1 go down to position (5,5)
INFO: At t=0001     B robot 1 go down to position (4,7)
INFO: At t=0002     R robot 1 go down to position (5,6)
INFO: At t=0003     B robot 1 go right to position (5,7)
INFO: At t=0004     R robot 1 go left to position (4,6)
INFO: At t=0005     B robot 1 go up to position (5,6)
INFO: At t=0006     R robot 1 go down to position (4,7)
INFO: At t=0007     B robot 1 go up to position (5,5)
INFO: At t=0008     R robot 1 go up to position (4,6)
INFO: At t=0009     B robot 1 go up to position (5,4)
INFO: At t=0010     R robot 1 go up to position (4,5)
INFO: At t=0011     B robot 1 go up to position (5,3)
INFO: At t=0012     R robot 1 go left to position (3,5)
INFO: At t=0013     B robot 1 go up to position (5,2)
INFO: At t=0014     R robot 1 go up to position (3,4)
INFO: At t=0015     B robot 1 go up to position (5,1)
INFO: At t=0016     R robot 1 go left to position (2,4)
INFO: At t=0017     B robot 1 go up to position (5,0)
INFO: At t=0018     R robot 1 go up to position (2,3)
INFO: At t=0019     B robot 1 go left to position (4,0)
INFO: At t=0020     R robot 1 go left to position (1,3)
INFO: At t=0021     B robot 1 go down to position (4,1)
INFO: At t=0022     R robot 1 go up to position (1,2)
INFO: At t=0023     B robot 1 go down to position (4,2)
INFO: At t=0024     R robot 1 go left to position (0,2)
INFO: At t=0025     B robot 1 go down to position (4,3)
INFO: At t=0026     R robot 1 go down to position (0,3)
INFO: At t=0027     B robot 1 go down to position (4,4)
INFO: At t=0028     R robot 1 go right to position (1,3)
INFO: At t=0029     B robot 1 go down to position (4,5)
INFO: At t=0030     R robot 1 go down to position (1,4)
INFO: At t=0031     B robot 1 go down to position (4,6)
INFO: At t=0032     R robot 1 go down to position (1,5)
INFO: At t=0033     B robot 1 go down to position (4,7)
INFO: At t=0034     R robot 1 go down to position (1,6)
INFO: At t=0035     B robot 1 go right to position (5,7)
INFO: At t=0036     R robot 1 go down to position (1,7)
INFO: At t=0037     B robot 1 go up to position (5,6)
INFO: At t=0038     R robot 1 go right to position (2,7)
INFO: At t=0039     B robot 1 go right to position (6,6)
INFO: At t=0040     R robot 1 go right to position (3,7)
INFO: At t=0041     B robot 1 go right to position (7,6)
INFO: At t=0042     R robot 1 go up to position (3,6)
INFO: At t=0043     B robot 1 go right to position (8,6)
INFO: At t=0044     R robot 1 go right to position (4,6)
INFO: At t=0045     B robot 1 go down to position (8,7)
INFO: At t=0046     R robot 1 go right to position (5,6)
INFO: At t=0047     B robot 1 go left to position (7,7)
INFO: At t=0048     R robot 1 go right to position (6,6)
INFO: At t=0049     B robot 1 go left to position (6,7)
INFO: At t=0050     R robot 1 go right to position (7,6)
INFO: At t=0051     B robot 1 go right to position (7,7)
INFO: At t=0052     R robot 1 go right to position (8,6)
INFO: At t=0053     B robot 1 go right to position (8,7)
INFO: At t=0054     R robot 1 go left to position (7,6)
INFO: At t=0055     B robot 1 go up to position (8,6)
INFO: At t=0056     R robot 1 go down to position (7,7)
INFO: At t=0057     B robot 1 go down to position (8,7)
INFO: At t=0058     R robot 1 go left to position (6,7)
INFO: At t=0059     B robot 1 go left to position (7,7)
INFO: At t=0060     R robot 1 go up to position (6,6)
INFO: At t=0061     B robot 1 go left to position (6,7)
INFO: At t=0062     R robot 1 go right to position (7,6)
INFO: At t=0063     B robot 1 go left to position (5,7)
INFO: At t=0064     R robot 1 go up to position (7,5)
INFO: At t=0065     B robot 1 go up to position (5,6)
INFO: At t=0066     R robot 1 go right to position (8,5)
INFO: At t=0067     B robot 1 go left to position (4,6)
INFO: At t=0068     R robot 1 go up to position (8,4)
INFO: At t=0069     B robot 1 go left to position (3,6)
INFO: At t=0070     R robot 1 go down to position (8,5)
INFO: At t=0071     B robot 1 go left to position (2,6)
INFO: At t=0072     R robot 1 go left to position (7,5)
INFO: At t=0073     B robot 1 go left to position (1,6)
INFO: At t=0074     R robot 1 go down to position (7,6)
INFO: At t=0075     B robot 1 go up to position (1,5)
INFO: At t=0076     R robot 1 go down to position (7,7)
INFO: At t=0077     B robot 1 go left to position (0,5)
INFO: At t=0078     R robot 1 go left to position (6,7)
INFO: At t=0079     B robot 1 go up to position (0,4)
INFO: At t=0080 Player b win
